,mda_round,beta,cr_factor,mda_coverage,strategy,b_drug
0,0,0.06413,1,0.6,AAB,DHAPPQ
1,0,0.06413,1,0.6,ABA,DHAPPQ
2,0,0.06413,1,0.6,ABB,DHAPPQ
3,0,0.06413,1,0.6,AAB,KAFLUM
4,0,0.06413,1,0.6,ABA,KAFLUM
5,0,0.06413,1,0.6,ABB,KAFLUM
6,0,0.06413,1,0.7,AAB,DHAPPQ
7,0,0.06413,1,0.7,ABA,DHAPPQ
8,0,0.06413,1,0.7,ABB,DHAPPQ
9,0,0.06413,1,0.7,AAB,KAFLUM
10,0,0.06413,1,0.7,ABA,KAFLUM
11,0,0.06413,1,0.7,ABB,KAFLUM
12,0,0.06413,1,0.8,AAB,DHAPPQ
13,0,0.06413,1,0.8,ABA,DHAPPQ
14,0,0.06413,1,0.8,ABB,DHAPPQ
15,0,0.06413,1,0.8,AAB,KAFLUM
16,0,0.06413,1,0.8,ABA,KAFLUM
17,0,0.06413,1,0.8,ABB,KAFLUM
18,0,0.06413,1,0.9,AAB,DHAPPQ
19,0,0.06413,1,0.9,ABA,DHAPPQ
20,0,0.06413,1,0.9,ABB,DHAPPQ
21,0,0.06413,1,0.9,AAB,KAFLUM
22,0,0.06413,1,0.9,ABA,KAFLUM
23,0,0.06413,1,0.9,ABB,KAFLUM
24,0,0.06413,2,0.6,AAB,DHAPPQ
25,0,0.06413,2,0.6,ABA,DHAPPQ
26,0,0.06413,2,0.6,ABB,DHAPPQ
27,0,0.06413,2,0.6,AAB,KAFLUM
28,0,0.06413,2,0.6,ABA,KAFLUM
29,0,0.06413,2,0.6,ABB,KAFLUM
30,0,0.06413,2,0.7,AAB,DHAPPQ
31,0,0.06413,2,0.7,ABA,DHAPPQ
32,0,0.06413,2,0.7,ABB,DHAPPQ
33,0,0.06413,2,0.7,AAB,KAFLUM
34,0,0.06413,2,0.7,ABA,KAFLUM
35,0,0.06413,2,0.7,ABB,KAFLUM
36,0,0.06413,2,0.8,AAB,DHAPPQ
37,0,0.06413,2,0.8,ABA,DHAPPQ
38,0,0.06413,2,0.8,ABB,DHAPPQ
39,0,0.06413,2,0.8,AAB,KAFLUM
40,0,0.06413,2,0.8,ABA,KAFLUM
41,0,0.06413,2,0.8,ABB,KAFLUM
42,0,0.06413,2,0.9,AAB,DHAPPQ
43,0,0.06413,2,0.9,ABA,DHAPPQ
44,0,0.06413,2,0.9,ABB,DHAPPQ
45,0,0.06413,2,0.9,AAB,KAFLUM
46,0,0.06413,2,0.9,ABA,KAFLUM
47,0,0.06413,2,0.9,ABB,KAFLUM
48,0,0.06413,5,0.6,AAB,DHAPPQ
49,0,0.06413,5,0.6,ABA,DHAPPQ
50,0,0.06413,5,0.6,ABB,DHAPPQ
51,0,0.06413,5,0.6,AAB,KAFLUM
52,0,0.06413,5,0.6,ABA,KAFLUM
53,0,0.06413,5,0.6,ABB,KAFLUM
54,0,0.06413,5,0.7,AAB,DHAPPQ
55,0,0.06413,5,0.7,ABA,DHAPPQ
56,0,0.06413,5,0.7,ABB,DHAPPQ
57,0,0.06413,5,0.7,AAB,KAFLUM
58,0,0.06413,5,0.7,ABA,KAFLUM
59,0,0.06413,5,0.7,ABB,KAFLUM
60,0,0.06413,5,0.8,AAB,DHAPPQ
61,0,0.06413,5,0.8,ABA,DHAPPQ
62,0,0.06413,5,0.8,ABB,DHAPPQ
63,0,0.06413,5,0.8,AAB,KAFLUM
64,0,0.06413,5,0.8,ABA,KAFLUM
65,0,0.06413,5,0.8,ABB,KAFLUM
66,0,0.06413,5,0.9,AAB,DHAPPQ
67,0,0.06413,5,0.9,ABA,DHAPPQ
68,0,0.06413,5,0.9,ABB,DHAPPQ
69,0,0.06413,5,0.9,AAB,KAFLUM
70,0,0.06413,5,0.9,ABA,KAFLUM
71,0,0.06413,5,0.9,ABB,KAFLUM
72,0,0.06413,10,0.6,AAB,DHAPPQ
73,0,0.06413,10,0.6,ABA,DHAPPQ
74,0,0.06413,10,0.6,ABB,DHAPPQ
75,0,0.06413,10,0.6,AAB,KAFLUM
76,0,0.06413,10,0.6,ABA,KAFLUM
77,0,0.06413,10,0.6,ABB,KAFLUM
78,0,0.06413,10,0.7,AAB,DHAPPQ
79,0,0.06413,10,0.7,ABA,DHAPPQ
80,0,0.06413,10,0.7,ABB,DHAPPQ
81,0,0.06413,10,0.7,AAB,KAFLUM
82,0,0.06413,10,0.7,ABA,KAFLUM
83,0,0.06413,10,0.7,ABB,KAFLUM
84,0,0.06413,10,0.8,AAB,DHAPPQ
85,0,0.06413,10,0.8,ABA,DHAPPQ
86,0,0.06413,10,0.8,ABB,DHAPPQ
87,0,0.06413,10,0.8,AAB,KAFLUM
88,0,0.06413,10,0.8,ABA,KAFLUM
89,0,0.06413,10,0.8,ABB,KAFLUM
90,0,0.06413,10,0.9,AAB,DHAPPQ
91,0,0.06413,10,0.9,ABA,DHAPPQ
92,0,0.06413,10,0.9,ABB,DHAPPQ
93,0,0.06413,10,0.9,AAB,KAFLUM
94,0,0.06413,10,0.9,ABA,KAFLUM
95,0,0.06413,10,0.9,ABB,KAFLUM
96,0,0.0585,1,0.6,AAB,DHAPPQ
97,0,0.0585,1,0.6,ABA,DHAPPQ
98,0,0.0585,1,0.6,ABB,DHAPPQ
99,0,0.0585,1,0.6,AAB,KAFLUM
100,0,0.0585,1,0.6,ABA,KAFLUM
101,0,0.0585,1,0.6,ABB,KAFLUM
102,0,0.0585,1,0.7,AAB,DHAPPQ
103,0,0.0585,1,0.7,ABA,DHAPPQ
104,0,0.0585,1,0.7,ABB,DHAPPQ
105,0,0.0585,1,0.7,AAB,KAFLUM
106,0,0.0585,1,0.7,ABA,KAFLUM
107,0,0.0585,1,0.7,ABB,KAFLUM
108,0,0.0585,1,0.8,AAB,DHAPPQ
109,0,0.0585,1,0.8,ABA,DHAPPQ
110,0,0.0585,1,0.8,ABB,DHAPPQ
111,0,0.0585,1,0.8,AAB,KAFLUM
112,0,0.0585,1,0.8,ABA,KAFLUM
113,0,0.0585,1,0.8,ABB,KAFLUM
114,0,0.0585,1,0.9,AAB,DHAPPQ
115,0,0.0585,1,0.9,ABA,DHAPPQ
116,0,0.0585,1,0.9,ABB,DHAPPQ
117,0,0.0585,1,0.9,AAB,KAFLUM
118,0,0.0585,1,0.9,ABA,KAFLUM
119,0,0.0585,1,0.9,ABB,KAFLUM
120,0,0.0585,2,0.6,AAB,DHAPPQ
121,0,0.0585,2,0.6,ABA,DHAPPQ
122,0,0.0585,2,0.6,ABB,DHAPPQ
123,0,0.0585,2,0.6,AAB,KAFLUM
124,0,0.0585,2,0.6,ABA,KAFLUM
125,0,0.0585,2,0.6,ABB,KAFLUM
126,0,0.0585,2,0.7,AAB,DHAPPQ
127,0,0.0585,2,0.7,ABA,DHAPPQ
128,0,0.0585,2,0.7,ABB,DHAPPQ
129,0,0.0585,2,0.7,AAB,KAFLUM
130,0,0.0585,2,0.7,ABA,KAFLUM
131,0,0.0585,2,0.7,ABB,KAFLUM
132,0,0.0585,2,0.8,AAB,DHAPPQ
133,0,0.0585,2,0.8,ABA,DHAPPQ
134,0,0.0585,2,0.8,ABB,DHAPPQ
135,0,0.0585,2,0.8,AAB,KAFLUM
136,0,0.0585,2,0.8,ABA,KAFLUM
137,0,0.0585,2,0.8,ABB,KAFLUM
138,0,0.0585,2,0.9,AAB,DHAPPQ
139,0,0.0585,2,0.9,ABA,DHAPPQ
140,0,0.0585,2,0.9,ABB,DHAPPQ
141,0,0.0585,2,0.9,AAB,KAFLUM
142,0,0.0585,2,0.9,ABA,KAFLUM
143,0,0.0585,2,0.9,ABB,KAFLUM
144,0,0.0585,5,0.6,AAB,DHAPPQ
145,0,0.0585,5,0.6,ABA,DHAPPQ
146,0,0.0585,5,0.6,ABB,DHAPPQ
147,0,0.0585,5,0.6,AAB,KAFLUM
148,0,0.0585,5,0.6,ABA,KAFLUM
149,0,0.0585,5,0.6,ABB,KAFLUM
150,0,0.0585,5,0.7,AAB,DHAPPQ
151,0,0.0585,5,0.7,ABA,DHAPPQ
152,0,0.0585,5,0.7,ABB,DHAPPQ
153,0,0.0585,5,0.7,AAB,KAFLUM
154,0,0.0585,5,0.7,ABA,KAFLUM
155,0,0.0585,5,0.7,ABB,KAFLUM
156,0,0.0585,5,0.8,AAB,DHAPPQ
157,0,0.0585,5,0.8,ABA,DHAPPQ
158,0,0.0585,5,0.8,ABB,DHAPPQ
159,0,0.0585,5,0.8,AAB,KAFLUM
160,0,0.0585,5,0.8,ABA,KAFLUM
161,0,0.0585,5,0.8,ABB,KAFLUM
162,0,0.0585,5,0.9,AAB,DHAPPQ
163,0,0.0585,5,0.9,ABA,DHAPPQ
164,0,0.0585,5,0.9,ABB,DHAPPQ
165,0,0.0585,5,0.9,AAB,KAFLUM
166,0,0.0585,5,0.9,ABA,KAFLUM
167,0,0.0585,5,0.9,ABB,KAFLUM
168,0,0.0585,10,0.6,AAB,DHAPPQ
169,0,0.0585,10,0.6,ABA,DHAPPQ
170,0,0.0585,10,0.6,ABB,DHAPPQ
171,0,0.0585,10,0.6,AAB,KAFLUM
172,0,0.0585,10,0.6,ABA,KAFLUM
173,0,0.0585,10,0.6,ABB,KAFLUM
174,0,0.0585,10,0.7,AAB,DHAPPQ
175,0,0.0585,10,0.7,ABA,DHAPPQ
176,0,0.0585,10,0.7,ABB,DHAPPQ
177,0,0.0585,10,0.7,AAB,KAFLUM
178,0,0.0585,10,0.7,ABA,KAFLUM
179,0,0.0585,10,0.7,ABB,KAFLUM
180,0,0.0585,10,0.8,AAB,DHAPPQ
181,0,0.0585,10,0.8,ABA,DHAPPQ
182,0,0.0585,10,0.8,ABB,DHAPPQ
183,0,0.0585,10,0.8,AAB,KAFLUM
184,0,0.0585,10,0.8,ABA,KAFLUM
185,0,0.0585,10,0.8,ABB,KAFLUM
186,0,0.0585,10,0.9,AAB,DHAPPQ
187,0,0.0585,10,0.9,ABA,DHAPPQ
188,0,0.0585,10,0.9,ABB,DHAPPQ
189,0,0.0585,10,0.9,AAB,KAFLUM
190,0,0.0585,10,0.9,ABA,KAFLUM
191,0,0.0585,10,0.9,ABB,KAFLUM
192,0,0.0538,1,0.6,AAB,DHAPPQ
193,0,0.0538,1,0.6,ABA,DHAPPQ
194,0,0.0538,1,0.6,ABB,DHAPPQ
195,0,0.0538,1,0.6,AAB,KAFLUM
196,0,0.0538,1,0.6,ABA,KAFLUM
197,0,0.0538,1,0.6,ABB,KAFLUM
198,0,0.0538,1,0.7,AAB,DHAPPQ
199,0,0.0538,1,0.7,ABA,DHAPPQ
200,0,0.0538,1,0.7,ABB,DHAPPQ
201,0,0.0538,1,0.7,AAB,KAFLUM
202,0,0.0538,1,0.7,ABA,KAFLUM
203,0,0.0538,1,0.7,ABB,KAFLUM
204,0,0.0538,1,0.8,AAB,DHAPPQ
205,0,0.0538,1,0.8,ABA,DHAPPQ
206,0,0.0538,1,0.8,ABB,DHAPPQ
207,0,0.0538,1,0.8,AAB,KAFLUM
208,0,0.0538,1,0.8,ABA,KAFLUM
209,0,0.0538,1,0.8,ABB,KAFLUM
210,0,0.0538,1,0.9,AAB,DHAPPQ
211,0,0.0538,1,0.9,ABA,DHAPPQ
212,0,0.0538,1,0.9,ABB,DHAPPQ
213,0,0.0538,1,0.9,AAB,KAFLUM
214,0,0.0538,1,0.9,ABA,KAFLUM
215,0,0.0538,1,0.9,ABB,KAFLUM
216,0,0.0538,2,0.6,AAB,DHAPPQ
217,0,0.0538,2,0.6,ABA,DHAPPQ
218,0,0.0538,2,0.6,ABB,DHAPPQ
219,0,0.0538,2,0.6,AAB,KAFLUM
220,0,0.0538,2,0.6,ABA,KAFLUM
221,0,0.0538,2,0.6,ABB,KAFLUM
222,0,0.0538,2,0.7,AAB,DHAPPQ
223,0,0.0538,2,0.7,ABA,DHAPPQ
224,0,0.0538,2,0.7,ABB,DHAPPQ
225,0,0.0538,2,0.7,AAB,KAFLUM
226,0,0.0538,2,0.7,ABA,KAFLUM
227,0,0.0538,2,0.7,ABB,KAFLUM
228,0,0.0538,2,0.8,AAB,DHAPPQ
229,0,0.0538,2,0.8,ABA,DHAPPQ
230,0,0.0538,2,0.8,ABB,DHAPPQ
231,0,0.0538,2,0.8,AAB,KAFLUM
232,0,0.0538,2,0.8,ABA,KAFLUM
233,0,0.0538,2,0.8,ABB,KAFLUM
234,0,0.0538,2,0.9,AAB,DHAPPQ
235,0,0.0538,2,0.9,ABA,DHAPPQ
236,0,0.0538,2,0.9,ABB,DHAPPQ
237,0,0.0538,2,0.9,AAB,KAFLUM
238,0,0.0538,2,0.9,ABA,KAFLUM
239,0,0.0538,2,0.9,ABB,KAFLUM
240,0,0.0538,5,0.6,AAB,DHAPPQ
241,0,0.0538,5,0.6,ABA,DHAPPQ
242,0,0.0538,5,0.6,ABB,DHAPPQ
243,0,0.0538,5,0.6,AAB,KAFLUM
244,0,0.0538,5,0.6,ABA,KAFLUM
245,0,0.0538,5,0.6,ABB,KAFLUM
246,0,0.0538,5,0.7,AAB,DHAPPQ
247,0,0.0538,5,0.7,ABA,DHAPPQ
248,0,0.0538,5,0.7,ABB,DHAPPQ
249,0,0.0538,5,0.7,AAB,KAFLUM
250,0,0.0538,5,0.7,ABA,KAFLUM
251,0,0.0538,5,0.7,ABB,KAFLUM
252,0,0.0538,5,0.8,AAB,DHAPPQ
253,0,0.0538,5,0.8,ABA,DHAPPQ
254,0,0.0538,5,0.8,ABB,DHAPPQ
255,0,0.0538,5,0.8,AAB,KAFLUM
256,0,0.0538,5,0.8,ABA,KAFLUM
257,0,0.0538,5,0.8,ABB,KAFLUM
258,0,0.0538,5,0.9,AAB,DHAPPQ
259,0,0.0538,5,0.9,ABA,DHAPPQ
260,0,0.0538,5,0.9,ABB,DHAPPQ
261,0,0.0538,5,0.9,AAB,KAFLUM
262,0,0.0538,5,0.9,ABA,KAFLUM
263,0,0.0538,5,0.9,ABB,KAFLUM
264,0,0.0538,10,0.6,AAB,DHAPPQ
265,0,0.0538,10,0.6,ABA,DHAPPQ
266,0,0.0538,10,0.6,ABB,DHAPPQ
267,0,0.0538,10,0.6,AAB,KAFLUM
268,0,0.0538,10,0.6,ABA,KAFLUM
269,0,0.0538,10,0.6,ABB,KAFLUM
270,0,0.0538,10,0.7,AAB,DHAPPQ
271,0,0.0538,10,0.7,ABA,DHAPPQ
272,0,0.0538,10,0.7,ABB,DHAPPQ
273,0,0.0538,10,0.7,AAB,KAFLUM
274,0,0.0538,10,0.7,ABA,KAFLUM
275,0,0.0538,10,0.7,ABB,KAFLUM
276,0,0.0538,10,0.8,AAB,DHAPPQ
277,0,0.0538,10,0.8,ABA,DHAPPQ
278,0,0.0538,10,0.8,ABB,DHAPPQ
279,0,0.0538,10,0.8,AAB,KAFLUM
280,0,0.0538,10,0.8,ABA,KAFLUM
281,0,0.0538,10,0.8,ABB,KAFLUM
282,0,0.0538,10,0.9,AAB,DHAPPQ
283,0,0.0538,10,0.9,ABA,DHAPPQ
284,0,0.0538,10,0.9,ABB,DHAPPQ
285,0,0.0538,10,0.9,AAB,KAFLUM
286,0,0.0538,10,0.9,ABA,KAFLUM
287,0,0.0538,10,0.9,ABB,KAFLUM
288,0,0.0508,1,0.6,AAB,DHAPPQ
289,0,0.0508,1,0.6,ABA,DHAPPQ
290,0,0.0508,1,0.6,ABB,DHAPPQ
291,0,0.0508,1,0.6,AAB,KAFLUM
292,0,0.0508,1,0.6,ABA,KAFLUM
293,0,0.0508,1,0.6,ABB,KAFLUM
294,0,0.0508,1,0.7,AAB,DHAPPQ
295,0,0.0508,1,0.7,ABA,DHAPPQ
296,0,0.0508,1,0.7,ABB,DHAPPQ
297,0,0.0508,1,0.7,AAB,KAFLUM
298,0,0.0508,1,0.7,ABA,KAFLUM
299,0,0.0508,1,0.7,ABB,KAFLUM
300,0,0.0508,1,0.8,AAB,DHAPPQ
301,0,0.0508,1,0.8,ABA,DHAPPQ
302,0,0.0508,1,0.8,ABB,DHAPPQ
303,0,0.0508,1,0.8,AAB,KAFLUM
304,0,0.0508,1,0.8,ABA,KAFLUM
305,0,0.0508,1,0.8,ABB,KAFLUM
306,0,0.0508,1,0.9,AAB,DHAPPQ
307,0,0.0508,1,0.9,ABA,DHAPPQ
308,0,0.0508,1,0.9,ABB,DHAPPQ
309,0,0.0508,1,0.9,AAB,KAFLUM
310,0,0.0508,1,0.9,ABA,KAFLUM
311,0,0.0508,1,0.9,ABB,KAFLUM
312,0,0.0508,2,0.6,AAB,DHAPPQ
313,0,0.0508,2,0.6,ABA,DHAPPQ
314,0,0.0508,2,0.6,ABB,DHAPPQ
315,0,0.0508,2,0.6,AAB,KAFLUM
316,0,0.0508,2,0.6,ABA,KAFLUM
317,0,0.0508,2,0.6,ABB,KAFLUM
318,0,0.0508,2,0.7,AAB,DHAPPQ
319,0,0.0508,2,0.7,ABA,DHAPPQ
320,0,0.0508,2,0.7,ABB,DHAPPQ
321,0,0.0508,2,0.7,AAB,KAFLUM
322,0,0.0508,2,0.7,ABA,KAFLUM
323,0,0.0508,2,0.7,ABB,KAFLUM
324,0,0.0508,2,0.8,AAB,DHAPPQ
325,0,0.0508,2,0.8,ABA,DHAPPQ
326,0,0.0508,2,0.8,ABB,DHAPPQ
327,0,0.0508,2,0.8,AAB,KAFLUM
328,0,0.0508,2,0.8,ABA,KAFLUM
329,0,0.0508,2,0.8,ABB,KAFLUM
330,0,0.0508,2,0.9,AAB,DHAPPQ
331,0,0.0508,2,0.9,ABA,DHAPPQ
332,0,0.0508,2,0.9,ABB,DHAPPQ
333,0,0.0508,2,0.9,AAB,KAFLUM
334,0,0.0508,2,0.9,ABA,KAFLUM
335,0,0.0508,2,0.9,ABB,KAFLUM
336,0,0.0508,5,0.6,AAB,DHAPPQ
337,0,0.0508,5,0.6,ABA,DHAPPQ
338,0,0.0508,5,0.6,ABB,DHAPPQ
339,0,0.0508,5,0.6,AAB,KAFLUM
340,0,0.0508,5,0.6,ABA,KAFLUM
341,0,0.0508,5,0.6,ABB,KAFLUM
342,0,0.0508,5,0.7,AAB,DHAPPQ
343,0,0.0508,5,0.7,ABA,DHAPPQ
344,0,0.0508,5,0.7,ABB,DHAPPQ
345,0,0.0508,5,0.7,AAB,KAFLUM
346,0,0.0508,5,0.7,ABA,KAFLUM
347,0,0.0508,5,0.7,ABB,KAFLUM
348,0,0.0508,5,0.8,AAB,DHAPPQ
349,0,0.0508,5,0.8,ABA,DHAPPQ
350,0,0.0508,5,0.8,ABB,DHAPPQ
351,0,0.0508,5,0.8,AAB,KAFLUM
352,0,0.0508,5,0.8,ABA,KAFLUM
353,0,0.0508,5,0.8,ABB,KAFLUM
354,0,0.0508,5,0.9,AAB,DHAPPQ
355,0,0.0508,5,0.9,ABA,DHAPPQ
356,0,0.0508,5,0.9,ABB,DHAPPQ
357,0,0.0508,5,0.9,AAB,KAFLUM
358,0,0.0508,5,0.9,ABA,KAFLUM
359,0,0.0508,5,0.9,ABB,KAFLUM
360,0,0.0508,10,0.6,AAB,DHAPPQ
361,0,0.0508,10,0.6,ABA,DHAPPQ
362,0,0.0508,10,0.6,ABB,DHAPPQ
363,0,0.0508,10,0.6,AAB,KAFLUM
364,0,0.0508,10,0.6,ABA,KAFLUM
365,0,0.0508,10,0.6,ABB,KAFLUM
366,0,0.0508,10,0.7,AAB,DHAPPQ
367,0,0.0508,10,0.7,ABA,DHAPPQ
368,0,0.0508,10,0.7,ABB,DHAPPQ
369,0,0.0508,10,0.7,AAB,KAFLUM
370,0,0.0508,10,0.7,ABA,KAFLUM
371,0,0.0508,10,0.7,ABB,KAFLUM
372,0,0.0508,10,0.8,AAB,DHAPPQ
373,0,0.0508,10,0.8,ABA,DHAPPQ
374,0,0.0508,10,0.8,ABB,DHAPPQ
375,0,0.0508,10,0.8,AAB,KAFLUM
376,0,0.0508,10,0.8,ABA,KAFLUM
377,0,0.0508,10,0.8,ABB,KAFLUM
378,0,0.0508,10,0.9,AAB,DHAPPQ
379,0,0.0508,10,0.9,ABA,DHAPPQ
380,0,0.0508,10,0.9,ABB,DHAPPQ
381,0,0.0508,10,0.9,AAB,KAFLUM
382,0,0.0508,10,0.9,ABA,KAFLUM
383,0,0.0508,10,0.9,ABB,KAFLUM
384,0,0.0475,1,0.6,AAB,DHAPPQ
385,0,0.0475,1,0.6,ABA,DHAPPQ
386,0,0.0475,1,0.6,ABB,DHAPPQ
387,0,0.0475,1,0.6,AAB,KAFLUM
388,0,0.0475,1,0.6,ABA,KAFLUM
389,0,0.0475,1,0.6,ABB,KAFLUM
390,0,0.0475,1,0.7,AAB,DHAPPQ
391,0,0.0475,1,0.7,ABA,DHAPPQ
392,0,0.0475,1,0.7,ABB,DHAPPQ
393,0,0.0475,1,0.7,AAB,KAFLUM
394,0,0.0475,1,0.7,ABA,KAFLUM
395,0,0.0475,1,0.7,ABB,KAFLUM
396,0,0.0475,1,0.8,AAB,DHAPPQ
397,0,0.0475,1,0.8,ABA,DHAPPQ
398,0,0.0475,1,0.8,ABB,DHAPPQ
399,0,0.0475,1,0.8,AAB,KAFLUM
400,0,0.0475,1,0.8,ABA,KAFLUM
401,0,0.0475,1,0.8,ABB,KAFLUM
402,0,0.0475,1,0.9,AAB,DHAPPQ
403,0,0.0475,1,0.9,ABA,DHAPPQ
404,0,0.0475,1,0.9,ABB,DHAPPQ
405,0,0.0475,1,0.9,AAB,KAFLUM
406,0,0.0475,1,0.9,ABA,KAFLUM
407,0,0.0475,1,0.9,ABB,KAFLUM
408,0,0.0475,2,0.6,AAB,DHAPPQ
409,0,0.0475,2,0.6,ABA,DHAPPQ
410,0,0.0475,2,0.6,ABB,DHAPPQ
411,0,0.0475,2,0.6,AAB,KAFLUM
412,0,0.0475,2,0.6,ABA,KAFLUM
413,0,0.0475,2,0.6,ABB,KAFLUM
414,0,0.0475,2,0.7,AAB,DHAPPQ
415,0,0.0475,2,0.7,ABA,DHAPPQ
416,0,0.0475,2,0.7,ABB,DHAPPQ
417,0,0.0475,2,0.7,AAB,KAFLUM
418,0,0.0475,2,0.7,ABA,KAFLUM
419,0,0.0475,2,0.7,ABB,KAFLUM
420,0,0.0475,2,0.8,AAB,DHAPPQ
421,0,0.0475,2,0.8,ABA,DHAPPQ
422,0,0.0475,2,0.8,ABB,DHAPPQ
423,0,0.0475,2,0.8,AAB,KAFLUM
424,0,0.0475,2,0.8,ABA,KAFLUM
425,0,0.0475,2,0.8,ABB,KAFLUM
426,0,0.0475,2,0.9,AAB,DHAPPQ
427,0,0.0475,2,0.9,ABA,DHAPPQ
428,0,0.0475,2,0.9,ABB,DHAPPQ
429,0,0.0475,2,0.9,AAB,KAFLUM
430,0,0.0475,2,0.9,ABA,KAFLUM
431,0,0.0475,2,0.9,ABB,KAFLUM
432,0,0.0475,5,0.6,AAB,DHAPPQ
433,0,0.0475,5,0.6,ABA,DHAPPQ
434,0,0.0475,5,0.6,ABB,DHAPPQ
435,0,0.0475,5,0.6,AAB,KAFLUM
436,0,0.0475,5,0.6,ABA,KAFLUM
437,0,0.0475,5,0.6,ABB,KAFLUM
438,0,0.0475,5,0.7,AAB,DHAPPQ
439,0,0.0475,5,0.7,ABA,DHAPPQ
440,0,0.0475,5,0.7,ABB,DHAPPQ
441,0,0.0475,5,0.7,AAB,KAFLUM
442,0,0.0475,5,0.7,ABA,KAFLUM
443,0,0.0475,5,0.7,ABB,KAFLUM
444,0,0.0475,5,0.8,AAB,DHAPPQ
445,0,0.0475,5,0.8,ABA,DHAPPQ
446,0,0.0475,5,0.8,ABB,DHAPPQ
447,0,0.0475,5,0.8,AAB,KAFLUM
448,0,0.0475,5,0.8,ABA,KAFLUM
449,0,0.0475,5,0.8,ABB,KAFLUM
450,0,0.0475,5,0.9,AAB,DHAPPQ
451,0,0.0475,5,0.9,ABA,DHAPPQ
452,0,0.0475,5,0.9,ABB,DHAPPQ
453,0,0.0475,5,0.9,AAB,KAFLUM
454,0,0.0475,5,0.9,ABA,KAFLUM
455,0,0.0475,5,0.9,ABB,KAFLUM
456,0,0.0475,10,0.6,AAB,DHAPPQ
457,0,0.0475,10,0.6,ABA,DHAPPQ
458,0,0.0475,10,0.6,ABB,DHAPPQ
459,0,0.0475,10,0.6,AAB,KAFLUM
460,0,0.0475,10,0.6,ABA,KAFLUM
461,0,0.0475,10,0.6,ABB,KAFLUM
462,0,0.0475,10,0.7,AAB,DHAPPQ
463,0,0.0475,10,0.7,ABA,DHAPPQ
464,0,0.0475,10,0.7,ABB,DHAPPQ
465,0,0.0475,10,0.7,AAB,KAFLUM
466,0,0.0475,10,0.7,ABA,KAFLUM
467,0,0.0475,10,0.7,ABB,KAFLUM
468,0,0.0475,10,0.8,AAB,DHAPPQ
469,0,0.0475,10,0.8,ABA,DHAPPQ
470,0,0.0475,10,0.8,ABB,DHAPPQ
471,0,0.0475,10,0.8,AAB,KAFLUM
472,0,0.0475,10,0.8,ABA,KAFLUM
473,0,0.0475,10,0.8,ABB,KAFLUM
474,0,0.0475,10,0.9,AAB,DHAPPQ
475,0,0.0475,10,0.9,ABA,DHAPPQ
476,0,0.0475,10,0.9,ABB,DHAPPQ
477,0,0.0475,10,0.9,AAB,KAFLUM
478,0,0.0475,10,0.9,ABA,KAFLUM
479,0,0.0475,10,0.9,ABB,KAFLUM
480,1,0.06413,1,0.6,AAB,DHAPPQ
481,1,0.06413,1,0.6,ABA,DHAPPQ
482,1,0.06413,1,0.6,ABB,DHAPPQ
483,1,0.06413,1,0.6,AAB,KAFLUM
484,1,0.06413,1,0.6,ABA,KAFLUM
485,1,0.06413,1,0.6,ABB,KAFLUM
486,1,0.06413,1,0.7,AAB,DHAPPQ
487,1,0.06413,1,0.7,ABA,DHAPPQ
488,1,0.06413,1,0.7,ABB,DHAPPQ
489,1,0.06413,1,0.7,AAB,KAFLUM
